parameter,sensitivity,mean,q5,q95
mu,0,18.6541909,16.957925000000003,20.430115
mu,1,17.5419806,16.63042,18.464485
mu,2,17.9943412,17.169469999999997,18.88711
mu,3,18.5874724,17.77386,19.38148
mu,4,18.6359336,17.92325,19.367054999999997
mu,5,18.0492725,17.433574999999998,18.675225
mu,6,18.3054163,17.676365,18.91907
mu,7,18.3362549,17.77309,18.882794999999998
mu,8,18.6301819,17.856185,19.427015
mu,9,18.9006747,18.24328,19.596125
mu,10,19.2737594,18.783155,19.77282
mu,11,18.871257,18.257824999999997,19.447605
mu,12,19.7837885,19.341545,20.23845
mu,13,19.1481385,18.717535,19.592785000000003
mu,14,19.6605699,19.08633,20.223235
mu,15,19.5980915,19.037565,20.17899
mu,16,19.5232997,18.81979,20.185655
mu,17,20.2821873,19.709065,20.85803
mu,18,20.3485166,19.8549,20.863394999999997
mu,19,20.6249797,20.156315,21.093525
mu,20,21.2400014,20.802374999999998,21.692015
mu,21,22.6367436,22.263985,22.990140000000004
mu,22,23.2943091,22.930975000000004,23.647285
mu,23,24.8304927,24.571385,25.102555
mu,24,26.0675218,25.775360000000003,26.354139999999997
mu,25,26.8542966,26.713365,26.9927
mu,26,27.8800824,27.74699,28.01551
mu,27,29.1579735,29.042585,29.275830000000003
mu,28,30.3113147,30.227,30.39591
mu,29,31.3784074,31.32219,31.435410000000005
mu,30,31.5035595,31.46858,31.540915
mu,31,31.9633668,31.881689999999995,32.039245
mu,32,32.962096,32.8336,33.091809999999995
mu,33,34.1221087,33.89207,34.337515
mu,34,34.5363487,34.06910500000001,35.00263
mu,35,35.5861233,35.02681,36.108090000000004
sigma,0,0.527551845,0.35787579999999997,0.7580998
sigma,1,0.53242963,0.41034985,0.6951961499999999
sigma,2,0.494440242,0.38755995,0.62926795
sigma,3,0.519569578,0.4005913,0.6713843999999999
sigma,4,0.532983656,0.42360400000000004,0.66427695
sigma,5,0.543244323,0.42454824999999996,0.6932570999999998
sigma,6,0.620629684,0.4665569,0.8201968
sigma,7,0.686037791,0.5270260499999999,0.8833297
sigma,8,0.908565355,0.6967406500000001,1.1539159999999997
sigma,9,1.160583419,0.9252454499999999,1.4427955000000001
sigma,10,1.340763322,1.1070190000000002,1.609782
sigma,11,1.57142193,1.289741,1.8743029999999998
sigma,12,1.69243102,1.364737,2.0599224999999994
sigma,13,1.85329943,1.4976315,2.265792
sigma,14,2.79484518,2.1522195,3.5454079999999997
sigma,15,3.4937432,2.8260845000000003,4.276304499999999
sigma,16,4.74819692,3.840467,5.737799000000001
sigma,17,5.37436056,4.4902425,6.335968
sigma,18,5.1262558,4.494975999999999,5.777278999999999
sigma,19,6.13157673,5.423842500000001,6.8878885
sigma,20,5.03602918,4.320526500000001,5.789879499999999
sigma,21,5.4593967,4.810999499999999,6.144454
sigma,22,5.43740753,4.863328500000001,6.05432
sigma,23,3.96072988,3.4713275,4.5166695
sigma,24,3.33906168,2.804609,3.93673
sigma,25,2.85878274,2.6002445,3.1355955
sigma,26,2.77955699,2.5468355,3.0103815
sigma,27,2.56982575,2.415222,2.7235224999999996
sigma,28,2.1810835,2.071109,2.2936675
sigma,29,0.864229037,0.7488100000000001,0.99137385
sigma,30,0.678024931,0.6404743,0.7188370499999999
sigma,31,0.60139877,0.5696745499999999,0.63536205
sigma,32,1.067799355,0.92519405,1.2365519999999999
sigma,33,1.59020707,1.362789,1.825399
sigma,34,1.58295922,1.2591535,1.9567509999999997
sigma,35,2.01126124,1.471501,2.62868
lamda,0,0.856487563,0.8059495,0.89378195
lamda,1,0.846763957,0.8190767500000001,0.87006055
lamda,2,0.850605489,0.8256265,0.87425955
lamda,3,0.772997851,0.7400207,0.80330685
lamda,4,0.763943825,0.7336835500000001,0.7913497
lamda,5,0.750416856,0.71743015,0.7827542500000001
lamda,6,0.727659427,0.69564165,0.7572219499999999
lamda,7,0.658144445,0.61816125,0.6956645499999999
